"Gene","Module"
"ADAMTS1","grey"
"ADAMTS10","grey"
"ADAMTS12","green"
"ADAMTS13","turquoise"
"ADAMTS14","grey"
"ADAMTS15","grey60"
"ADAMTS16","grey"
"ADAMTS17","yellow"
"ADAMTS18","grey"
"ADAMTS19","grey"
"ADAMTS2","magenta"
"ADAMTS20","grey"
"ADAMTS3","grey"
"ADAMTS4","grey"
"ADAMTS5","grey"
"ADAMTS6","green"
"ADAMTS7","turquoise"
"ADAMTS8","grey"
"ADAMTS9","grey"
"ADAMTSL1","grey"
"ADAMTSL2","grey"
"ADAMTSL3","grey"
"ADAMTSL4","grey"
"ADAMTSL4-AS1","grey"
"ADAMTSL5","turquoise"
"ADAP1","black"
"ADAP2","red"
"ADAR","grey"
"ADARB1","salmon"
"ADARB2","turquoise"
"ADAT1","grey"
"ADAT2","blue"
"ADAT3","turquoise"
"ADCK1","grey"
"ADCK2","grey"
"ADCK5","turquoise"
"ADCY1","grey"
"ADCY10","grey"
"ADCY10P1","grey"
"ADCY2","grey"
"ADCY3","salmon"
"ADCY4","tan"
"ADCY5","grey"
"ADCY6","grey"
"ADCY7","magenta"
"ADCY8","turquoise"
"ADCY9","yellow"
"ADCYAP1","grey"
"ADCYAP1R1","grey60"
"ADD1","grey"
"ADD2","grey"
"ADD3","grey"
"ADGB","grey"
"ADGRA1","turquoise"
"ADGRA2","salmon"
"ADGRA3","grey"
"ADGRB1","turquoise"
"ADGRB2","grey"
"ADGRB3","grey"
"ADGRD1","grey"
"ADGRD2","turquoise"
"ADGRE1","grey"
"ADGRE2","red"
"ADGRE3","grey"
"ADGRE4P","grey"
"ADGRE5","magenta"
"ADGRF1","black"
"ADGRF2P","grey"
"ADGRF3","turquoise"
"ADGRF4","grey"
"ADGRF5","grey"
"ADGRG1","grey"
"ADGRG2","grey"
"ADGRG3","grey"
"ADGRG4","cyan"
"ADGRG5","red"
"ADGRG6","grey"
"ADGRG7","grey"
"ADGRL1","brown"
"ADGRL2","grey"
"ADGRL3","grey"
"ADGRL4","grey"
"ADGRV1","grey"
"ADH1A","tan"
"ADH1B","tan"
"ADH1C","grey"
"ADH4","cyan"
"ADH5","blue"
"ADH6","cyan"
"ADH7","grey"
"ADHFE1","yellow"
"ADI1","brown"
"ADIG","turquoise"
"ADIPOQ","grey60"
"ADIPOR1","brown"
"ADIPOR2","grey"
"ADIRF","grey"
"ADISSP","turquoise"
"ADK","grey"
"ADM","grey"
"ADM2","yellow"
"ADNP","blue"
"ADNP2","grey"
"ADO","grey"
"ADORA1","grey"
"ADORA2A","grey"
"ADORA2A-AS1","turquoise"
"ADORA2B","grey"
"ADORA3","grey"
"ADPGK","turquoise"
"ADPRH","grey"
"ADPRHL1","blue"
"ADPRM","grey"
"ADPRS","grey"
"ADRA1A","grey60"
"ADRA1B","grey"
"ADRA1D","turquoise"
"ADRA2A","blue"
"ADRA2B","turquoise"
"ADRA2C","turquoise"
"ADRB1","turquoise"
"ADRB2","grey"
"ADRB3","grey"
"ADRM1","brown"
"ADSL","grey"
"ADSS1","grey"
"ADSS2","blue"
"ADTRP","grey"
"AEBP1","green"
"AEBP2","blue"
"AEN","blue"
"AFAP1","green"
"AFAP1-AS1","grey"
"AFAP1L1","grey"
"AFAP1L2","grey"
"AFDN","grey"
"AFDN-DT","grey"
"AFF1","brown"
"AFF2","grey"
"AFF3","red"
"AFF4","grey"
"AFG1L","blue"
"AFG2A","turquoise"
"AFG2B","blue"
"AFG3L1P","grey"
"AFG3L2","brown"
"AFM","grey"
"AFMID","yellow"
"AFP","grey"
"AFTPH","blue"
"AGA","grey"
"AGAP1","grey"
"AGAP11","grey"
"AGAP2","grey"
"AGAP3","grey"
"AGAP5","grey"
"AGAP6","grey"
"AGAP9","grey"
"AGBL1","grey"
"AGBL2","grey"
"AGBL3","yellow"
"AGBL4","grey"
"AGBL5","yellow"
"AGER","turquoise"
"AGFG1","grey"
"AGFG2","grey"
"AGGF1","blue"
"AGK","turquoise"
"AGL","turquoise"
"AGMAT","grey"
"AGMO","grey"
"AGO1","brown"
"AGO2","grey"
"AGO3","turquoise"
"AGO4","turquoise"
"AGPAT1","brown"
"AGPAT2","grey"
"AGPAT3","brown"
"AGPAT4","green"
"AGPAT4-IT1","grey"
"AGPAT5","blue"
"AGPS","blue"
"AGR2","black"
"AGR3","grey"
"AGRN","black"
"AGRP","grey"
"AGT","grey"
"AGTPBP1","blue"
"AGTR1","grey"
"AGTR2","grey"
"AGTRAP","brown"
"AGXT","turquoise"
"AGXT2","grey"
"AHCTF1","blue"
"AHCY","yellow"
"AHCYL1","grey"
"AHCYL2","grey"
"AHDC1","blue"
"AHI1","grey"
"AHNAK","grey"
"AHNAK2","black"
"AHR","yellow"
"AHRR","grey"
"AHSA1","blue"
"AHSA2P","blue"
"AHSG","turquoise"
"AHSP","grey"
"AICDA","grey"
"AIDA","grey"
"AIF1","grey"
"AIF1L","grey"
"AIFM1","blue"
"AIFM2","grey"
"AIFM3","turquoise"
"AIG1","grey"
"AIM2","red"
"AIMP1","blue"
"AIMP2","grey"
"AIP","grey"
"AIPL1","turquoise"
"AIRE","turquoise"
"AIRIM","grey"
"AJAP1","grey"
"AJM1","turquoise"
"AJUBA","grey"
"AK1","grey"
"AK2","turquoise"
"AK3","grey"
"AK4","grey"
"AK5","grey"
"AK6","blue"
"AK7","blue"
"AK8","blue"
"AK9","blue"
"AKAP1","grey"
"AKAP10","blue"
"AKAP11","blue"
"AKAP12","midnightblue"
"AKAP13","grey"
"AKAP14","grey"
"AKAP3","grey"
"AKAP4","grey"
"AKAP5","grey"
"AKAP6","grey"
"AKAP7","yellow"
"AKAP8","grey"
"AKAP8L","brown"
"AKAP9","blue"
"AKIP1","turquoise"
"AKIRIN1","brown"
"AKIRIN2","pink"
"AKNA","red"
"AKNAD1","grey"
"AKR1A1","grey"
"AKR1B1","brown"
"AKR1B10","grey"
"AKR1C1","grey"
"AKR1C2","grey"
"AKR1C3","grey"
"AKR1C4","grey"
"AKR1C6P","grey"
"AKR1C8","grey"
"AKR1D1","grey"
"AKR1E2","grey"
"AKR7A2","grey"
"AKR7A2P1","yellow"
"AKR7A3","yellow"
"AKR7L","pink"
"AKT1","brown"
"AKT1S1","turquoise"
"AKT2","brown"
"AKT3","salmon"
"AKTIP","turquoise"
"ALAD","yellow"
"ALAS1","grey"
"ALAS2","grey"
"ALB","yellow"
"ALCAM","grey"
"ALDH16A1","blue"
"ALDH18A1","blue"
"ALDH1A1","blue"
"ALDH1A2","grey"
"ALDH1A3","grey"
"ALDH1B1","grey"
"ALDH1L1","grey"
"ALDH1L2","yellow"
"ALDH2","grey"
"ALDH3A1","grey"
"ALDH3A2","yellow"
"ALDH3B1","grey"
"ALDH3B2","grey"
"ALDH4A1","grey"
"ALDH5A1","grey"
"ALDH6A1","grey"
"ALDH7A1","blue"
"ALDH8A1","grey"
"ALDH9A1","blue"
"ALDOA","black"
"ALDOAP2","grey"
"ALDOB","grey"
"ALDOC","grey"
"ALG1","grey"
"ALG10","grey"
"ALG10B","grey"
"ALG11","turquoise"
"ALG12","brown"
"ALG13","turquoise"
"ALG14","grey"
"ALG1L1P","grey"
"ALG2","yellow"
"ALG3","brown"
"ALG5","grey"
"ALG6","blue"
"ALG8","brown"
"ALG9","grey"
"ALK","turquoise"
"ALKAL1","grey"
"ALKAL2","yellow"
"ALKBH1","grey"
"ALKBH2","brown"
"ALKBH3","grey"
"ALKBH4","turquoise"
"ALKBH5","grey"
"ALKBH6","blue"
"ALKBH7","brown"
"ALKBH8","blue"
"ALLC","grey"
"ALMS1","grey"
"ALMS1P1","magenta"
"ALOX12","grey"
"ALOX12B","turquoise"
"ALOX12P2","grey"
"ALOX15","grey"
"ALOX15B","grey"
"ALOX5","magenta"
"ALOX5AP","red"
"ALOXE3","turquoise"
"ALPG","grey"
"ALPI","cyan"
"ALPK1","turquoise"
"ALPK2","grey"
"ALPK3","grey"
"ALPL","grey"
"ALPP","brown"
"ALS2","blue"
"ALS2CL","black"
"ALX1","grey"
"ALX3","turquoise"
"ALX4","turquoise"
"ALYREF","grey"
"AMACR","grey"
"AMBN","grey"
"AMBP","yellow"
"AMBRA1","brown"
"AMD1","blue"
"AMDHD1","grey"
"AMDHD2","turquoise"
"AMELX","grey"
"AMELY","grey"
"AMER1","grey"
"AMER2","turquoise"
"AMER3","grey"
"AMFR","brown"
"AMH","turquoise"
"AMHR2","yellow"
"AMIGO1","blue"
"AMIGO2","blue"
"AMIGO3","turquoise"
"AMMECR1","grey"
"AMMECR1L","blue"
"AMN","turquoise"
