"Gene","Module"
"ADGRL1","brown"
"ADGRL2","grey"
"ADGRL3","grey"
"ADGRL4","grey"
"ADGRV1","yellow"
"ADH1A","tan"
"ADH1B","tan"
"ADH1C","grey"
"ADH4","salmon"
"ADH5","turquoise"
"ADH6","salmon"
"ADH7","grey"
"ADHFE1","green"
"ADI1","brown"
"ADIPOQ","midnightblue"
"ADIPOR1","brown"
"ADIPOR2","grey"
"ADIRF","grey"
"ADISSP","blue"
"ADK","grey"
"ADM","grey"
"ADM2","green"
"ADNP","grey"
"ADNP2","grey"
"ADORA1","turquoise"
"ADORA2A-AS1","blue"
"ADORA2B","grey"
"ADORA3","grey"
"ADPGK","blue"
"ADPRHL1","turquoise"
"ADPRM","grey"
"ADRA1B","grey"
"ADRA1D","blue"
"ADRA2A","turquoise"
"ADRA2B","blue"
"ADRA2C","blue"
"ADRB1","blue"
"ADRB2","grey"
"ADRM1","brown"
"ADSL","turquoise"
"ADSS1","grey"
"ADSS2","turquoise"
"ADTRP","grey"
"AEBP1","black"
"AEBP2","turquoise"
"AEN","turquoise"
"AFAP1","black"
"AFAP1-AS1","pink"
"AFAP1L1","grey"
"AFAP1L2","grey"
"AFDN","turquoise"
"AFDN-DT","grey"
"AFF1","brown"
"AFF3","red"
"AFG1L","turquoise"
"AFG2A","blue"
"AFG2B","turquoise"
"AFG3L2","turquoise"
"AFMID","green"
"AFTPH","turquoise"
"AGA","grey"
"AGAP1","grey"
"AGAP11","grey"
"AGAP2","grey"
"AGAP5","grey"
"AGAP6","grey"
"AGAP9","grey"
"AGBL3","yellow"
"AGER","blue"
"AGFG1","brown"
"AGFG2","turquoise"
"AGGF1","turquoise"
"AGK","blue"
"AGL","turquoise"
"AGMAT","grey"
"AGMO","grey"
"AGO1","brown"
"AGO2","grey"
"AGO3","blue"
"AGO4","turquoise"
"AGPAT1","brown"
"AGPAT2","grey"
"AGPAT4","turquoise"
"AGPAT4-IT1","grey"
"AGPAT5","turquoise"
"AGPS","turquoise"
"AGR2","grey"
"AGR3","grey"
"AGRN","grey"
"AGT","grey"
