"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"SEPTIN7P13",0.0874401519465486,6.74653432748837,1.07952609584581,0.28142800969006,0.35251743794991,-6.33988035800758,"Not Significant"
"DNAJC21",-0.0622004519969073,7.8431622177674,-1.07901175473768,0.281656763843367,0.352781852449201,-6.34042974152586,"Not Significant"
"AFF1",-0.0563449081478513,8.7086524203368,-1.07888997029324,0.281710946279781,0.352827592236791,-6.34055978526283,"Not Significant"
"PREX2",-0.110622668408476,6.72451015607472,-1.07836940037176,0.281942630340643,0.353095623451251,-6.34111549581571,"Not Significant"
"BDP1",-0.0566324067993094,5.29715610351899,-1.07782900373337,0.282183275980988,0.353374843538825,-6.34169209049585,"Not Significant"
"AUP1",0.0835762484364402,8.43980337394578,1.07762217240147,0.28227541773416,0.353468070580033,-6.34191270052052,"Not Significant"
"OR2V2",-0.0252267592447457,3.88057300972468,-1.07647292551282,0.282787772204736,0.354087447468492,-6.3431377441825,"Not Significant"
"RHBDD1",-0.0484388527390074,8.25553859172071,-1.07631244188589,0.282859369059378,0.354154894853132,-6.34330870924367,"Not Significant"
"MAVS",0.0582425371691482,6.76145469212164,1.07607411050827,0.282965719081369,0.354265496220971,-6.3435625598293,"Not Significant"
"NMRK2",-0.0341907890105295,5.67754627743306,-1.0760095114815,0.282994549641306,0.354265496220971,-6.34363135570162,"Not Significant"
"SH3BGRL2",-0.0818223279615706,7.62287308739452,-1.07599525165832,0.283000914073386,0.354265496220971,-6.34364654140057,"Not Significant"
"GTF2H1",0.0517351556091494,7.49297226456209,1.07590905774693,0.283039386143917,0.354288156907364,-6.34373832755115,"Not Significant"
"MARCKSL1",0.0606609695220488,9.0053936079462,1.07587521805885,0.283054491234991,0.354288156907364,-6.3437743607589,"Not Significant"
"ZBTB45",0.0523713059150124,5.58372994485194,1.07583150471954,0.283074004461567,0.354290379416965,-6.34382090597555,"Not Significant"
"LRRC41",0.0509030988835768,7.66923144308366,1.07575400875493,0.2831086001908,0.354311477456832,-6.34390341775069,"Not Significant"
"NFYB",-0.167624502365882,6.46169778040361,-1.0754910447938,0.283226013981605,0.354414555783085,-6.3441833577833,"Not Significant"
"RAVER1",-0.0494388100602396,6.97841335066749,-1.07549006537123,0.283226451357244,0.354414555783085,-6.3441844003074,"Not Significant"
"CTSO",0.0813095360931904,7.00663258024549,1.07528511337306,0.283317985833038,0.354506887742223,-6.34440253612148,"Not Significant"
"TRMT2B",0.0434845150259067,6.7246201438751,1.07523938851086,0.283338409957273,0.354510235560422,-6.34445119667995,"Not Significant"
"DHODH",-0.0335685153243475,5.7052671679237,-1.07517472799272,0.283367293866754,0.354524167096432,-6.34452000513158,"Not Significant"
"IL19",-0.0264167423360853,3.76408938257031,-1.07488985681753,0.283494569964476,0.354661188805615,-6.34482310182112,"Not Significant"
"PELP1",-0.0353091979368312,6.13140036831084,-1.0747114555146,0.283574296782557,0.35472244073437,-6.34501287639224,"Not Significant"
"GHITM",0.0542875274097909,8.02240116235769,1.07470082176039,0.283579049446602,0.35472244073437,-6.3450241870741,"Not Significant"
"GOLGA6C",-0.0407695670004902,4.44350308176404,-1.07384575863108,0.283961390153415,0.355149020935391,-6.34593331934752,"Not Significant"
"SLC25A10",-0.0601422307144945,5.86855212088981,-1.07377919946078,0.283991166750624,0.355149020935391,-6.34600405726155,"Not Significant"
"TSR2",0.0606768463436689,6.43115439453149,1.07376650801658,0.283996844767495,0.355149020935391,-6.34601754501196,"Not Significant"
"DENND4B",0.060945033119383,7.20665632816501,1.07375659272188,0.284001280818478,0.355149020935391,-6.34602808231757,"Not Significant"
"GRHPR",-0.0446263163128835,6.81400189154961,-1.07373939021854,0.284008977240463,0.355149020935391,-6.34604636374772,"Not Significant"
"ZNF266",0.0703089650030169,6.80188472347332,1.07350867121243,0.284112214949646,0.355255877138114,-6.34629152522425,"Not Significant"
"ACTMAP",-0.0415012256280498,6.44604949887839,-1.07318260910677,0.284258158538821,0.355416116347694,-6.34663790907474,"Not Significant"
"PRKAR1B",-0.0403388658916937,6.05360031279468,-1.07294661894465,0.284363818267986,0.355525970586176,-6.34688854225809,"Not Significant"
"PMF1",0.0434663011298255,7.6392463486112,1.07282915123394,0.284416421981232,0.355569481921082,-6.34701327840608,"Not Significant"
"PSMB7",0.0492507456467663,8.25649099166054,1.07270710076347,0.284471084937883,0.355615562057158,-6.34714286654849,"Not Significant"
"DBR1",0.0658753550544811,4.92800833996375,1.07260015392367,0.284518989284964,0.355653188057943,-6.34725640627665,"Not Significant"
"AFF2",-0.0383693552652753,5.03703925729281,-1.07246913625933,0.284577683082885,0.355704295487957,-6.34739548542779,"Not Significant"
"TAS2R13",-0.0663088703361376,5.21979886719827,-1.07235907626131,0.284626994555107,0.355743669935781,-6.34751230438724,"Not Significant"
"GNB3",0.0398770228165146,5.47172781980896,1.07230691783809,0.284650365736892,0.355750619774038,-6.34756766179598,"Not Significant"
"MIR181A2",-0.0507468649871972,3.96228715849959,-1.07202177403149,0.284778156260733,0.355888061887748,-6.34787024692819,"Not Significant"
"C8orf48",-0.0258249061342566,3.62048132779807,-1.07146954045136,0.285025757217311,0.356175204871032,-6.34845603219368,"Not Significant"
"AUNIP",0.0260231637897785,4.10950461590593,1.07138189212631,0.285065068926954,0.356202044838722,-6.34854897821917,"Not Significant"
"DCSTAMP",0.0673694324750622,4.34285970948406,1.07132266926426,0.285091633439467,0.356212954229946,-6.3486117764068,"Not Significant"
"LINC01588",0.0360637152951755,4.52544366731515,1.07114389560978,0.285171832874359,0.356290873199002,-6.34880132189672,"Not Significant"
"KIF3A",0.0904958942332161,6.03082117016969,1.07081754217607,0.285318277484451,0.35643703203544,-6.34914725864116,"Not Significant"
"POU5F1P3",-0.0946928944822512,5.72527624553557,-1.07080366189173,0.285324507119988,0.35643703203544,-6.34916196951726,"Not Significant"
"MED13L",-0.0494260407012259,8.67770080908778,-1.07014114640555,0.285621959515062,0.356786305150335,-6.3498639100623,"Not Significant"
"GPANK1",-0.0405895311224889,5.86472301609937,-1.07008012114058,0.285649368892201,0.356798229895118,-6.34992854518367,"Not Significant"
"EIF3B",-0.0518085582898493,8.21232742753744,-1.06987924900097,0.285739602851932,0.356888621020791,-6.35014127382092,"Not Significant"
