"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001704","GO:0001704","formation of primary germ layer","13/299","132/18805",0.0984848484848485,6.19400527009223,7.6117889716636,1.90034973279708e-07,4.32646289166803e-05,3.6046633878951e-05,"LAMB3/MMP14/ITGA2/ITGB4/ITGA3/FN1/LAMA3/LEF1/INHBA/DKK1/COL12A1/COL11A1/COL5A2",13
"GO:0001706","GO:0001706","endoderm formation","9/299","61/18805",0.147540983606557,9.27929162783047,8.23249350151657,4.83874793767677e-07,0.000103277026294788,8.60469452338178e-05,"LAMB3/MMP14/FN1/LAMA3/INHBA/DKK1/COL12A1/COL11A1/COL5A2",9
"GO:0022617","GO:0022617","extracellular matrix disassembly","9/299","65/18805",0.138461538461538,8.70825829688706,7.9128435774612,8.43687552001212e-07,0.000169481940593185,0.000141206653440203,"MMP14/MMP11/FAP/MMP1/CTSK/MMP12/MMP7/PRSS1/PRSS2",9
"GO:0141091","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","21/299","399/18805",0.0526315789473684,3.31015666255941,5.92860625577562,1.81500146670104e-06,0.000344346111599114,0.000286897600262743,"CDH3/ITGA3/SULF1/RUNX2/FERMT1/LEF1/ITGB6/INHBA/ADAM9/DKK1/CD109/ID1/GREM1/COMP/COL1A2/PPARG/PDCD4/COL3A1/SLC39A5/TNFAIP6/HPGD",21
"GO:0061041","GO:0061041","regulation of wound healing","12/299","140/18805",0.0857142857142857,5.39082656473961,6.62827838405049,2.49324017682486e-06,0.000448127115992468,0.000373364443100143,"PLAU/FERMT1/PLAT/CEACAM1/CD109/F11/DUOX2/FAP/CD36/TSPAN8/REG3G/REG3A",12
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","21/299","410/18805",0.0512195121951219,3.22134758136879,5.78046782390081,2.78594908806298e-06,0.000475700806786754,0.000396337915001802,"CDH3/SFN/SULF1/SERPINB5/RUNX2/MIR492/CEACAM1/EFNB2/NRP2/PROX1/SULF2/CD109/RGN/EGF/CXCL12/PPARG/MMP12/REG3G/PKHD1/REG3A/SPINK1",21
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","15/299","224/18805",0.0669642857142857,4.21158325370282,6.1462905803121,3.19128936081701e-06,0.000518964436532862,0.000432383716405433,"MMP14/ITGA3/CEACAM6/EFNA5/FN1/PLAU/POSTN/FERMT1/EDIL3/AGR2/GREM1/COL1A1/CD36/MMP12/PKHD1",15
"GO:0050878","GO:0050878","regulation of body fluid levels","20/299","388/18805",0.0515463917525773,3.24190600972313,5.67189596600275,4.39125957632198e-06,0.00068164324786998,0.000567922231330063,"ITGA2/ANO1/PLAU/HK2/PLAT/CEACAM1/AGR2/ANXA8/COMP/PDIA2/P2RX1/F11/COL3A1/FAP/CD36/TSPAN8/CELA2A/CEL/CFTR/SPINK1",20
"GO:0007178","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","21/299","427/18805",0.0491803278688525,3.09309720927682,5.56107367859406,5.23755354033976e-06,0.000777662840880881,0.000647922527209994,"CDH3/ITGA3/SULF1/RUNX2/FERMT1/LEF1/ITGB6/INHBA/ADAM9/DKK1/CD109/ID1/GREM1/COMP/COL1A2/PPARG/PDCD4/COL3A1/SLC39A5/TNFAIP6/HPGD",21
"GO:0008544","GO:0008544","epidermis development","20/299","395/18805",0.0506329113924051,3.18445451081665,5.57723694316236,5.73271594823246e-06,0.000815717706800577,0.000679628561757558,"LAMB3/LAMC2/CDH3/SFN/COL17A1/LAMA3/FERMT1/INHBA/MET/SCEL/KRT17/ADAM9/KRT7/IGFBP5/DKK1/CD109/KRT6C/KRT6A/REG3G/REG3A",20
