"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","33/299","332/16958",0.0993975903614458,5.6374058105331,11.4323601057758,7.59531460111773e-16,1.03106790129962e-12,8.81058809331622e-13,"MMP14/ITGA2/COL10A1/MMP11/SULF1/POSTN/ANTXR1/COL17A1/SERPINB5/FERMT1/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/SULF2/GREM1/COL1A1/COMP/FLRT2/COL1A2/COL5A2/PPARG/OLFML2B/COL3A1/FAP/DPT/MMP1/CTSK/MMP12/MMP7/PRSS1/PRSS2",33
"GO:0043062","GO:0043062","extracellular structure organization","33/299","333/16958",0.0990990990990991,5.62047666395492,11.4081102878077,8.30057013362023e-16,1.03106790129962e-12,8.81058809331622e-13,"MMP14/ITGA2/COL10A1/MMP11/SULF1/POSTN/ANTXR1/COL17A1/SERPINB5/FERMT1/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/SULF2/GREM1/COL1A1/COMP/FLRT2/COL1A2/COL5A2/PPARG/OLFML2B/COL3A1/FAP/DPT/MMP1/CTSK/MMP12/MMP7/PRSS1/PRSS2",33
"GO:0045229","GO:0045229","external encapsulating structure organization","33/299","334/16958",0.0988023952095808,5.60364888951195,11.3839584498959,9.068319272644e-16,1.03106790129962e-12,8.81058809331622e-13,"MMP14/ITGA2/COL10A1/MMP11/SULF1/POSTN/ANTXR1/COL17A1/SERPINB5/FERMT1/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/SULF2/GREM1/COL1A1/COMP/FLRT2/COL1A2/COL5A2/PPARG/OLFML2B/COL3A1/FAP/DPT/MMP1/CTSK/MMP12/MMP7/PRSS1/PRSS2",33
"GO:0007160","GO:0007160","cell-matrix adhesion","24/299","234/16958",0.102564102564103,5.81699682703027,9.94030819359904,4.04691318671181e-12,3.45100521996849e-09,2.94892174052763e-09,"MMP14/ITGA2/ITGB4/ITGA3/CEACAM6/EFNA5/FN1/PLAU/POSTN/COL17A1/ITGA11/FERMT1/ADAMTS12/ITGB6/CDH11/ADAM9/MSLN/GREM1/MUC4/COL3A1/CD36/MMP12/LYVE1/PKHD1",24
"GO:0007586","GO:0007586","digestion","18/299","136/16958",0.132352941176471,7.50649222899862,10.2061793419051,3.05330658780095e-11,2.07173667534957e-08,1.77032166953446e-08,"GCNT3/VSIG1/TFF1/MUC4/MUC13/AMY2A/PNLIPRP2/CD36/CLPS/PNLIP/TFF2/CEL/PRSS3/CTRB1/CTRB2/PRSS1/PRSS2/SPINK1",18
"GO:0031589","GO:0031589","cell-substrate adhesion","28/299","355/16958",0.0788732394366197,4.47335248951905,8.86044210482376,3.64421578777409e-11,2.07173667534957e-08,1.77032166953446e-08,"MMP14/ITGA2/ITGB4/ITGA3/CEACAM6/EFNA5/FN1/PLAU/POSTN/ANTXR1/COL17A1/ITGA11/FERMT1/ADAMTS12/ITGB6/EDIL3/CDH11/AGR2/ADAM9/MSLN/GREM1/COL1A1/MUC4/COL3A1/CD36/MMP12/LYVE1/PKHD1",28
"GO:0030199","GO:0030199","collagen fibril organization","13/299","69/16958",0.188405797101449,10.6855702583491,10.8002401768729,1.95992298951062e-10,9.55042473888675e-08,8.16094249316528e-08,"MMP11/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/GREM1/COL1A1/COMP/COL1A2/COL5A2/COL3A1/DPT",13
"GO:0043588","GO:0043588","skin development","25/299","321/16958",0.0778816199376947,4.41711207660009,8.28056310745794,5.58911070876151e-10,2.38305707844819e-07,2.03634836217903e-07,"CDH3/ITGA2/ITGB4/ITGA3/SFN/FERMT1/ITGB6/INHBA/MET/SCEL/KRT17/ADAM9/KRT7/IGFBP5/DKK1/CD109/COL1A1/COMP/KRT6C/COL1A2/COL5A2/COL3A1/KRT6A/REG3G/REG3A",25
"GO:0050673","GO:0050673","epithelial cell proliferation","29/299","465/16958",0.0623655913978495,3.53710936095228,7.43192767841762,3.98319880334017e-09,1.50963234646593e-06,1.28999736683613e-06,"CDH3/MMP14/IGFBP3/SFN/SULF1/SERPINB5/RUNX2/FERMT1/MIR492/CEACAM1/LOXL2/EFNB2/IGFBP5/NRP2/PROX1/SULF2/CD109/CLDN18/RGN/EGF/FGL1/CXCL12/PPARG/FAP/MMP12/REG3G/PKHD1/REG3A/SPINK1",29
"GO:0030574","GO:0030574","collagen catabolic process","9/299","45/16958",0.2,11.343143812709,9.3075233802655,7.41561589866331e-08,2.43653595218206e-05,2.08204664524746e-05,"MMP14/MMP11/KLK6/FAP/MMP1/CTSK/MMP12/MMP7/PRSS2",9
