"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"ADGRF1","black",0.808562608862847,5.71717670954124e-57,-0.521302666595132,3.40841070970988e-18,0.521302666595132,3.40841070970988e-18,TRUE,TRUE
"AHNAK2","black",0.833861090220714,1.28535531774562e-63,-0.659997024651921,1.60490179997532e-31,0.659997024651921,1.60490179997532e-31,TRUE,TRUE
"ANO1","black",0.816499260698874,6.06405784111099e-59,-0.590581171915653,4.76080968380846e-24,0.590581171915653,4.76080968380846e-24,TRUE,TRUE
"AP1S3","black",0.841196766957188,9.30707480565942e-66,-0.549596623266662,2.01696863039256e-20,0.549596623266662,2.01696863039256e-20,TRUE,TRUE
"BCAS1","black",0.847744528132701,9.21492774472855e-68,-0.553566426943548,9.44032288859743e-21,0.553566426943548,9.44032288859743e-21,TRUE,TRUE
"CDCP1","black",0.882744693390106,2.31661227387412e-80,-0.540905197142218,1.02675828615784e-19,0.540905197142218,1.02675828615784e-19,TRUE,TRUE
"CDH3","black",0.86536766557615,1.15927229500736e-73,-0.619611877676238,6.01243827728948e-27,0.619611877676238,6.01243827728948e-27,TRUE,TRUE
"CEACAM1","black",0.832003577907883,4.30936098378265e-63,-0.546890731937345,3.3646431436308e-20,0.546890731937345,3.3646431436308e-20,TRUE,TRUE
"CEACAM6","black",0.826115392514359,1.81234028809775e-61,-0.596970624047328,1.16106439404127e-24,0.596970624047328,1.16106439404127e-24,TRUE,TRUE
"CORO2A","black",0.864343277211814,2.68889155882136e-73,-0.571830695865053,2.51148429518207e-22,0.571830695865053,2.51148429518207e-22,TRUE,TRUE
"CTSE","black",0.833721561217441,1.40836019131968e-63,-0.622071542563489,3.30711268091927e-27,0.622071542563489,3.30711268091927e-27,TRUE,TRUE
"EGLN3","black",0.821532558719202,3.02212628800848e-60,-0.540134741421522,1.18341661765542e-19,0.540134741421522,1.18341661765542e-19,TRUE,TRUE
"ERN2","black",0.820331640552973,6.23403523449817e-60,-0.50474419564413,5.53372994770954e-17,0.50474419564413,5.53372994770954e-17,TRUE,TRUE
"FERMT1","black",0.854159170537467,8.07618517238052e-70,-0.558897035843484,3.35184698111503e-21,0.558897035843484,3.35184698111503e-21,TRUE,TRUE
"FXYD3","black",0.877854129490447,2.25390971172662e-78,-0.557552803663536,4.35961539957949e-21,0.557552803663536,4.35961539957949e-21,TRUE,TRUE
"GPRC5A","black",0.811540229621224,1.06515084038467e-57,-0.610878145284083,4.81481052601351e-26,0.610878145284083,4.81481052601351e-26,TRUE,TRUE
"ITGA2","black",0.845171389357325,5.79737949905376e-67,-0.61539217885225,1.65618623971614e-26,0.61539217885225,1.65618623971614e-26,TRUE,TRUE
"ITGA3","black",0.898550491044503,1.89073883407551e-87,-0.603096893811284,2.91267760509788e-25,0.603096893811284,2.91267760509788e-25,TRUE,TRUE
"ITGB4","black",0.888141100195598,1.16297370619842e-82,-0.609868834592478,6.09809935300004e-26,0.609868834592478,6.09809935300004e-26,TRUE,TRUE
"ITGB6","black",0.829757365257469,1.82479275570454e-62,-0.552475464132579,1.16421838169537e-20,0.552475464132579,1.16421838169537e-20,TRUE,TRUE
"KRT19","black",0.902614164517768,1.83668616747265e-89,-0.619391116327332,6.34217883008726e-27,0.619391116327332,6.34217883008726e-27,TRUE,TRUE
"KRT7","black",0.811095891333426,1.37130142239643e-57,-0.516188751284966,8.19300957334937e-18,0.516188751284966,8.19300957334937e-18,TRUE,TRUE
"LAMB3","black",0.944161910777099,3.15316813757868e-117,-0.668668831006809,1.34726312117087e-32,0.668668831006809,1.34726312117087e-32,TRUE,TRUE
"LAMC2","black",0.877186467304478,4.14683201011488e-78,-0.655545498535552,5.54684713839099e-31,0.655545498535552,5.54684713839099e-31,TRUE,TRUE
"LIPH","black",0.850153994123263,1.59602632928752e-68,-0.49658433094073,2.06913084344894e-16,0.49658433094073,2.06913084344894e-16,TRUE,TRUE
"MALL","black",0.824929475966212,3.78348972708136e-61,-0.580925494506859,3.78802896316612e-23,0.580925494506859,3.78802896316612e-23,TRUE,TRUE
"MBOAT2","black",0.830310031861704,1.28188008847779e-62,-0.603084057191617,2.9212205530011e-25,0.603084057191617,2.9212205530011e-25,TRUE,TRUE
"MET","black",0.823911530962464,7.08521134913025e-61,-0.540834482664408,1.04024346018517e-19,0.540834482664408,1.04024346018517e-19,TRUE,TRUE
"MIR492","black",0.850349518037352,1.38249307058216e-68,-0.551253630255212,1.47098901058413e-20,0.551253630255212,1.47098901058413e-20,TRUE,TRUE
"MLPH","black",0.859867997113333,9.80723299252057e-72,-0.595605807531195,1.5736428679263e-24,0.595605807531195,1.5736428679263e-24,TRUE,TRUE
