"x"
"AHNAK2"
"TMPRSS4"
"LAMB3"
"TRIM29"
"SLC6A14"
"ITGB4"
"LAMC2"
"SLC2A1"
"S100A11"
"SFN"
"CDH3"
"MTMR11"
"S100A16"
"FN1"
"CTSE"
