"x"
"AHNAK2"
"TMPRSS4"
"LAMB3"
"TRIM29"
"SLC6A14"
"LAMC2"
"ITGB4"
"SLC2A1"
"S100A11"
"SFN"
"CDH3"
"MTMR11"
"FN1"
"CTSE"
