"Gene","Coefficient"
"EDIL3",0.12192474956768
"FBXO32",0.212400155909309
"PLAU",0.275646977422429
"POSTN",0.165956742842415
"AHNAK2",0.263521910847044
"CTSE",0.227484245588816
"ITGB4",0.659227833124569
"MLPH",0.344454159008663
"MST1R",0.144085239638279
"SLC6A14",0.152288298823838
"TRIM29",0.112960072667765
