"Gene","Coefficient"
"EDIL3",0.177368540108376
"GREM1",0.0222755635807491
"PLAU",0.280168633900079
"POSTN",0.270312012100342
"AHNAK2",0.227934312966312
"CTSE",0.237552604292746
"ITGB4",0.623663823795864
"MLPH",0.392748914399189
"MST1R",0.150833509771932
"SLC6A14",0.130016276977814
"TRIM29",0.177401308764765
