"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","23/184","105/9561",0.219047619047619,11.3821428571429,14.9842088577536,1.94813770638458e-18,4.71449324945067e-16,4.28590295404607e-16,"1300/1308/1303/1301/1277/117247/1278/1293/1290/1506/1281/51032/63036/5646/23436/1504/10136/1358/1360/1357/440387/5644/5645",23
"hsa04972","Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","21/184","106/9561",0.19811320754717,10.2943498769483,13.4786713090209,5.72063118995987e-16,6.92196373985145e-14,6.29269430895586e-14,"1506/5407/279/5408/51032/5319/63036/5406/1056/5646/23436/1504/10136/1358/1360/1357/440387/5644/8671/5645/1080",21
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","15/184","89/9561",0.168539325842697,8.75763312164143,10.2993376258097,1.14307417027442e-10,9.22079830688034e-09,8.38254391534576e-09,"3914/3918/3673/3691/3675/2335/22801/3909/3694/7058/1277/1311/1278/1293/948",15
"hsa04518",NA,NA,"hsa04518","Integrin signaling","17/184","154/9561",0.11038961038961,5.73606013551666,8.29961403050436,5.66084604844451e-09,3.42481185930893e-07,3.11346532664448e-07,"3914/3918/3673/3691/3675/2335/22801/3909/55612/3694/7058/4233/1277/1311/1950/1278/1293",17
"hsa04382",NA,NA,"hsa04382","Cornified envelope formation","18/184","217/9561",0.0829493087557604,4.31020837507514,6.909151007859,1.75296118296576e-07,8.48433212555428e-06,7.71302920504935e-06,"3914/3918/6282/3880/3691/140576/1308/3909/2053/3872/3855/57402/29943/51208/286887/1830/3853/25984",18
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","17/184","203/9561",0.083743842364532,4.35149389590919,6.76084268911151,3.42354861411442e-07,1.38083127435948e-05,1.25530115850862e-05,"3914/3918/3673/3691/3675/2335/22801/3909/3694/7058/4233/1277/1311/5063/1950/1278/1293",17
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","17/184","233/9561",0.0729613733905579,3.79121571188655,6.04203160333562,2.35986871481026e-06,8.15840327120117e-05,7.41673024654652e-05,"3673/3691/3675/2335/7273/22801/3694/7058/1462/1301/1277/1311/633/1278/1293/1290/1281",17
"hsa04975","Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","7/184","43/9561",0.162790697674419,8.45892315470172,6.86662626027594,1.56480587638463e-05,0.000473353777606349,0.000430321616005772,"5407/5408/948/1208/5319/5406/1056",7
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","19/184","362/9561",0.0524861878453039,2.72728501080951,4.69303593605068,6.6923530412128e-05,0.00179949937330388,0.00163590852118535,"3914/3918/3673/3691/3675/1946/2335/22801/3909/3694/7058/4233/1277/1311/1950/1278/1293/3561/57818",19
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","17/184","333/9561",0.0510510510510511,2.6527124951038,4.30003047986656,0.000228587586249032,0.00553181958722658,0.00502892689747871,"3914/3918/3673/3691/5315/3675/2335/22801/3909/3694/7058/1277/1311/1950/1278/1293/11317",17
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/184","76/9561",0.0921052631578947,4.78596967963387,4.64163685397302,0.000622449971381828,0.0136938993704002,0.0124489994276366,"33/51703/5468/4312/4973/948/2167",7
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","8/184","103/9561",0.0776699029126214,4.03588011819333,4.33919807469347,0.000809186859043821,0.0163186016573837,0.0148350924158034,"3914/3918/2335/3909/1277/1278/1281/6317",8
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","7/184","88/9561",0.0795454545454545,4.13333745059288,4.13628672919879,0.00149004827023828,0.0260779091426964,0.023707190129724,"5328/1604/5327/727/2160/729/730",7
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","6/184","65/9561",0.0923076923076923,4.79648829431438,4.30203847492785,0.00150863937189153,0.0260779091426964,0.023707190129724,"129642/196051/5407/5408/5406/1056",6
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","12/184","232/9561",0.0517241379310345,2.68768740629685,3.64522512649356,0.00172959873164582,0.0279041928705526,0.0253674480641387,"3673/3691/3675/2335/22801/3694/727/5063/1950/6387/729/730",12
