"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"GCAT","green",0.894992027271038,9.33610327496196e-86,-0.411366456984471,2.93799979655417e-11,TRUE
"GDF10","green",0.806370369150962,1.93345066986583e-56,-0.376362391582962,1.58251660820298e-09,TRUE
"GGACT","green",0.820783729039217,4.74971622387063e-60,-0.360457649760832,8.33381846417782e-09,TRUE
"GGT6","green",0.851340905436235,6.65286005067957e-69,-0.29199072485109,4.02263143180821e-06,TRUE
"GJC3","green",0.855991951460193,2.00089033420094e-70,-0.386310483187881,5.34342911952519e-10,TRUE
"GLP1R","green",0.812210698925683,7.26604155899843e-58,-0.327682746249867,1.94022297790945e-07,TRUE
"GLRX","green",-0.815862026692613,8.8064539716813e-59,0.315995132328607,5.4715102149956e-07,TRUE
"GPHA2","green",0.91886020714424,1.68203427492966e-98,-0.453621975612624,1.23676108779934e-13,TRUE
"GUCA1C","green",0.852253636990946,3.37678644288911e-69,-0.453639077568514,1.23383238523957e-13,TRUE
"HEXD","green",0.808286623615499,6.67072147907132e-57,-0.360864394542444,7.996105256756e-09,TRUE
"HOGA1","green",0.875444108943108,2.00209432710034e-77,-0.385303003900347,5.97444461120154e-10,TRUE
"HPN","green",0.950075034475916,6.98942973220435e-123,-0.416835372844271,1.50955365471086e-11,TRUE
"IGFBP2","green",0.912093462546171,1.59497496494981e-94,-0.274778841471238,1.51072300422798e-05,TRUE
"IL22RA1","green",0.899609955112364,5.75760225990335e-88,-0.348945587112143,2.6240877058314e-08,TRUE
"KCNJ5","green",0.859602158175216,1.20954346662158e-71,-0.460152638880766,4.95324347662038e-14,TRUE
"KCNK3","green",0.912966953969214,5.10240436510839e-95,-0.35520417399188,1.41459612688733e-08,TRUE
"KCNQ1","green",0.835219474213171,5.25628279647676e-64,-0.260494936378099,4.24278245032342e-05,TRUE
"KIF1A","green",0.89230509196048,1.61837660456108e-84,-0.429099601654245,3.24345767279202e-12,TRUE
"KIRREL2","green",0.926768521061267,1.29878724675802e-103,-0.435590820533926,1.40113788371456e-12,TRUE
"KLF15","green",0.897540442364702,5.80295602893019e-87,-0.41474323277791,1.95030179478378e-11,TRUE
"LARGE2","green",0.83787337635344,8.94649503822763e-65,-0.327841362034537,1.91253682079057e-07,TRUE
"LENG9","green",0.842621089453742,3.47247334086361e-66,-0.316696232771305,5.14791970882089e-07,TRUE
"LHFPL5","green",0.884865143660247,2.98621406667423e-81,-0.392866797685071,2.56036666197415e-10,TRUE
"LINC00671","green",0.876988623019033,4.96455709229841e-78,-0.440225956752931,7.61020078214358e-13,TRUE
"LMF2","green",0.859302583103205,1.53119362701561e-71,-0.240459517820991,0.000163918345243031,TRUE
"LRIG1","green",0.86416052998687,3.12207427841476e-73,-0.345997447364809,3.49438344425174e-08,TRUE
"MACROD1","green",0.802533532873009,1.57162907445287e-55,-0.298687258723463,2.3471516804251e-06,TRUE
"MAT1A","green",0.882049089805582,4.49763803288912e-80,-0.434141249607713,1.69261844126289e-12,TRUE
"MKNK1","green",0.85986002920166,9.86913257643938e-72,-0.476842467827245,4.3652011347386e-15,TRUE
"MPV17L","green",0.895216378392306,7.33165422230029e-86,-0.363299946339274,6.23411224187021e-09,TRUE
"MSRB1","green",0.893372635856874,5.25798685769787e-85,-0.338001622004514,7.48750756195055e-08,TRUE
"MST1L","green",0.863962554518866,3.66954508285084e-73,-0.309849741744328,9.27459823456483e-07,TRUE
"MYRIP","green",0.843348342072912,2.0910721255e-66,-0.577378898315916,7.97653889910755e-23,TRUE
"NOD1","green",-0.822328445147669,1.86469361970532e-60,0.390251345579956,3.44039801722753e-10,TRUE
"NOMO1","green",0.819776980237177,8.69387405300539e-60,-0.232863338555633,0.000265865608136647,TRUE
"NOS1","green",0.912601276258236,8.23424701620635e-95,-0.439666149428597,8.19644906445107e-13,TRUE
"NPHS1","green",0.923058560277109,3.80195468545668e-101,-0.453945215419987,1.18253765463281e-13,TRUE
"ONECUT1","green",0.880594941881726,1.77619203790346e-79,-0.256093697714843,5.76439793603729e-05,TRUE
"OR10G8","green",0.863712661387819,4.49805591344599e-73,-0.459039114148554,5.79760598916088e-14,TRUE
"P2RX1","green",0.93165815840582,4.53400642005369e-107,-0.443896103045252,4.66258603213456e-13,TRUE
"PARD6A","green",0.818270005314624,2.13383805972687e-59,-0.350661728132227,2.21807767066913e-08,TRUE
"PEBP4","green",0.826163912168326,1.75836930644555e-61,-0.371672632344542,2.60724871945995e-09,TRUE
"PHF20","green",-0.831892544426621,4.63035451727803e-63,0.269998823212291,2.14828923894395e-05,TRUE
"PHGDH","green",0.887332889458599,2.61439889494357e-82,-0.390837926880778,3.22055376177724e-10,TRUE
"PHYHD1","green",0.801061511008873,3.46880621414896e-55,-0.292170223848787,3.96566037248754e-06,TRUE
"PLA2G12A","green",0.88713388112446,3.18848614700164e-82,-0.37459919226079,1.91107171093756e-09,TRUE
"PLAAT5","green",0.815800511548144,9.12872306012774e-59,-0.488343243198473,7.56766048333163e-16,TRUE
"PLEKHG1","green",-0.889395788680357,3.26604698921298e-83,0.354639593954113,1.49651043253916e-08,TRUE
"PLPP5","green",0.837802370323363,9.38445105612284e-65,-0.295535220624327,3.0297339600793e-06,TRUE
"PLXNA2","green",0.823809557128838,7.54310361126304e-61,-0.292884481100987,3.74648434346568e-06,TRUE
"PM20D1","green",0.881005888910189,1.20699920606152e-79,-0.463359769488944,3.13770341167325e-14,TRUE
"PPP3CA","green",-0.82827528124522,4.67500664777099e-62,0.389010476002366,3.95447978511323e-10,TRUE
"PRLR","green",0.854913552600888,4.55817323601708e-70,-0.440786613896286,7.06412382511227e-13,TRUE
"PRSS16","green",0.860408895988439,6.39229662127858e-72,-0.226840625340281,0.000385834271987392,TRUE
