"Gene","Module"
"ADRA2C","blue"
"ADRB1","blue"
"AFG2A","blue"
"AGER","blue"
"AGK","blue"
"AGO3","blue"
"AGXT","blue"
"AIFM3","blue"
"AIRE","blue"
"AJM1","blue"
"AK2","blue"
"AKIP1","blue"
"ALKBH4","blue"
"ALPK1","blue"
"ALX3","blue"
"ALX4","blue"
"AMH","blue"
"AMIGO1","blue"
"AMMECR1L","blue"
"AMN","blue"
"AMZ1","blue"
"ANAPC1","blue"
"ANAPC7","blue"
"ANGPTL6","blue"
"ANGPTL8","blue"
"ANKIB1","blue"
"ANKRD11","blue"
"ANKRD2","blue"
"ANKRD24","blue"
"ANKRD33B","blue"
"ANKRD42","blue"
"ANKRD53","blue"
"ANKRD60","blue"
"ANKRD9","blue"
"ANKS3","blue"
"ANO10","blue"
"ANO7","blue"
"ANTKMT","blue"
"AP3B1","blue"
"APC","blue"
"APC2","blue"
"APCDD1L","blue"
"APH1A","blue"
"APLN","blue"
"APOC4","blue"
"AQP2","blue"
"AQR","blue"
"ARC","blue"
"ARHGAP19","blue"
"ARHGAP27P2","blue"
"ARHGAP39","blue"
"ARHGAP40","blue"
"ARID2","blue"
"ARID3A","blue"
"ARIH2OS","blue"
"ARL15","blue"
"ARMC12","blue"
"ARMC5","blue"
"ART1","blue"
"ART5","blue"
"ARTN","blue"
"ARX","blue"
"ASB16","blue"
"ASCL1","blue"
"ASCL2","blue"
"ASCL5","blue"
"ASGR1","blue"
"ASIC3","blue"
"ASMTL","blue"
"ASPDH","blue"
"ASPG","blue"
"ASPSCR1","blue"
"ASTL","blue"
"ATCAY","blue"
"ATE1","blue"
"ATF2","blue"
"ATG10","blue"
"ATIC","blue"
"ATOH7","blue"
"ATP6AP1-DT","blue"
"ATP6V0A1","blue"
"ATP6V1B1","blue"
"ATP7A","blue"
"ATXN7L2","blue"
"AURKAIP1","blue"
"AVP","blue"
"AZU1","blue"
"B3GALT6","blue"
"B3GAT1","blue"
"B4GALNT2","blue"
"B4GALNT4","blue"
"B9D2","blue"
"BARHL1","blue"
"BARHL2","blue"
"BARX1","blue"
"BBC3","blue"
"BBLN","blue"
"BBS4","blue"
"BBS7","blue"
"BBX","blue"
"BCAN","blue"
"BCAS4","blue"
"BDH2","blue"
"BEST4","blue"
"BHLHA9","blue"
"BHLHE23","blue"
"BIRC7","blue"
"BLOC1S3","blue"
"BLTP2","blue"
"BMPR1A","blue"
"BOD1L2","blue"
"BORCS6","blue"
"BPIFB3","blue"
"BPIFB6","blue"
"BRSK1","blue"
"BRWD3","blue"
"BTBD10","blue"
"BTNL2","blue"
"C10orf120","blue"
"C10orf95","blue"
"C11orf86","blue"
"C11orf87","blue"
"C14orf119","blue"
"C14orf180","blue"
"C16orf86","blue"
"C16orf92","blue"
"C17orf50","blue"
"C17orf99","blue"
"C19orf25","blue"
"C1QL1","blue"
"C1QL3","blue"
"C1QL4","blue"
"C1QTNF12","blue"
"C1QTNF4","blue"
"C1QTNF8","blue"
"C1orf167","blue"
"C1orf35","blue"
"C1orf53","blue"
"C1orf94","blue"
"C20orf141","blue"
"C20orf144","blue"
"C20orf173","blue"
"C20orf181","blue"
"C20orf204","blue"
